"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Disc Golf UK Ltd.","The Count","178.5","21.5","1.7","1.1","18.7","1.4","5.1","35.50","8.86","","","","19-24","Mar 20, 2019"
"Disc Golf UK Ltd.","The Duchess","176.8","21.3","1.7","1.1","17.8","1.8","5.2","36.50","7.50","","","","19-25","Mar 20, 2019"
"Discmania","Instinct (150-175g)","176.0","21.2","1.9","1.1","17.6","1.8","5.2","32.25","11.36","","","","19-19","Feb 27, 2019"
"MVP Disc Sports","Entropy","176.0","21.2","2.0","1.4","18.8","1.2","6.6","31.75","11.70","","","","19-20","Feb 27, 2019"
"Dynamic Discs","Raider","176.0","21.2","1.5","1.1","16.3","2.3","5.2","29.25","11.14","","","","19-18","Feb 27, 2019"
"Streamline Discs","Flare","176.0","21.2","1.8","1.2","17.2","2.0","5.7","29.50","11.59","","","","19-21","Feb 24, 2019"
"Infinite Discs","Emperor","175.1","21.1","1.7","1.2","16.4","2.3","5.7","28.00","11.82","","","","19-17","Feb 17, 2019"
"Axiom Discs","Pyro","178.5","21.5","1.6","1.3","18.4","1.6","6.0","42.25","12.05","","","","19-14","Feb 13, 2019"
"Latitude 64","Catch","200.0","27.6","3.0","2.2","26.0","0.8","8.0","90.00","10.45","Super Class","","","19-15","Feb 13, 2019"
"Gateway Disc Sports","Blade","176.8","21.3","1.5","1.1","17.3","2.0","5.2","34.00","11.71","","","","19-11","Feb 13, 2019"
"Disc Golf UK Ltd.","The Duke","178.5","21.5","1.9","1.4","18.1","1.7","6.5","35.25","11.14","","","","19-13","Feb 13, 2019"
"Gateway Disc Sports","Spear","176.0","21.2","1.4","1.1","17.3","2.0","5.2","31.25","11.93","","","","19-11","Feb 13, 2019"
"Above Ground Level","Magnolia","180.9","21.8","2.0","1.2","19.0","1.4","5.5","45.50","10.23","","","","19-16","Feb 13, 2019"
"RPM Discs/Disc Golf Aotearoa","Huia (DGFD1)","176.0","21.2","1.9","1.2","17.5","1.8","5.7","33.75","11.59","","","","19-10","Jan 31, 2019"
"MINT Discs","Bobcat","177.6","21.4","1.9","1.4","18.5","1.4","6.5","36.00","11.46","","","","19-09","Jan 31, 2019"
"Prodigy Disc","D2 Max","175.1","21.1","1.9","1.2","16.3","2.4","5.7","30.50","10.32","","","","19-05","Jan 31, 2019"
"Prodigy Disc","D3 Max","175.1","21.1","1.8","1.2","16.3","2.4","5.7","30.25","11.12","","","","19-06","Jan 31, 2019"
"Prodigy Disc","D4 Max","174.3","21.0","1.9","1.2","16.3","2.4","5.7","30.25","10.32","","","","19-07","Jan 31, 2019"
"Innova-Champion Discs","Lion","180.1","21.7","1.7","1.4","19.0","1.3","6.5","54.75","11.57","","","","19-03","Jan 31, 2019"
"Prodigy Disc","D6 Max","175.1","21.1","1.7","1.2","16.3","2.4","5.7","26.75","11.57","","","","19-08","Jan 31, 2019"
"Prodigy Disc","D1 Max","174.3","21.0","1.6","1.2","16.3","2.3","5.7","26.75","11.23","","","","19-04","Jan 31, 2019"
"Innova-Champion Discs","Firefly","175.1","21.1","2.1","1.5","19.1","1.0","7.1","71.00","12.02","","","","19-02","Jan 22, 2019"
"Latitude 64","Keystone","175.1","21.1","1.9","1.5","19.0","1.0","7.1","75.00","7.94","","","","19-01","Jan 22, 2019"
"Discmania","DD3 (Cloud Breaker, Distance Driver)","174.3","21.0","1.8","1.2","16.3","2.4","5.7","26.25","12.13","","","","18-94","Dec 28, 2018"
"Discraft","Raptor","176.8","21.3","1.9","1.1","17.4","1.9","5.2","27.25","12.13","","","","18-92","Dec 28, 2018"
"Westside Golf Discs","Gatekeeper","180.1","21.7","1.8","1.3","18.9","1.4","6.0","41.25","9.87","","","","18-93","Dec 28, 2018"
"Discraft","Zeus (former Kong)","175.1","21.1","1.6","1.2","16.5","2.3","5.7","28.50","11.79","","","","18-95","Dec 28, 2018"
"Discraft","Luna","175.1","21.1","2.0","1.4","18.9","1.1","6.6","68.50","12.13","","","","18-96","Dec 28, 2018"
"Prodigy Disc","F Model Fairway Driver S","176.8","21.3","1.4","1.1","17.2","2.0","5.2","30.25","7.03","","","","18-89","Dec 16, 2018"
"Prodigy Disc","M Model Mid Range OS","180.1","21.7","1.9","1.4","19.1","1.3","6.5","45.25","11.91","","","","18-90","Dec 16, 2018"
"Prodigy Disc","P Model Putter OS","175.1","21.1","2.2","1.5","19.1","1.0","7.1","58.75","4.99","","","","18-91","Dec 16, 2018"
"Prodigy Disc","D2 V2 (retooled D2)","175.1","21.1","1.9","1.2","16.3","2.4","5.7","30.50","10.21","","","","18-85","Dec 16, 2018"
"Innova-Champion Discs","Corvette","175.1","21.1","1.8","1.2","16.3","2.3","5.7","26.75","11.68","","","","18-83","Dec 16, 2018"
"Prodigy Disc","D3 V2 (retooled D3)","174.3","21.0","1.9","1.2","16.3","2.4","5.7","30.25","10.55","","","","18-86","Dec 16, 2018"
"Prodigy Disc","D6 V2 (retooled D6)","174.3","21.0","1.8","1.2","16.3","2.3","5.7","26.75","11.68","","","","18-87","Dec 16, 2018"
"Prodigy Disc","D Model Distance Driver S","175.1","21.1","1.5","1.1","16.7","2.2","5.2","30.00","7.71","","","","18-88","Dec 16, 2018"
"Prodigy Disc","D1 V2 (retooled D1)","175.1","21.1","1.9","1.2","16.3","2.4","5.7","26.75","9.88","","","","18-84","Dec 16, 2018"
"Discraft","SoL (Ace Race 2018)","175.1","21.1","1.7","1.3","18.9","1.1","6.2","51.25","8.73","","","","18-78","Nov 23, 2018"
"Latitude 64","Pioneer","176.0","21.2","1.5","1.2","17.3","1.9","5.7","27.00","11.57","","","","18-79","Nov 23, 2018"
"Above Ground Level","Madrone","174.3","21.0","2.2","1.7","19.0","1.0","8.1","83.50","8.16","","","","18-81","Nov 23, 2018"
"Latitude 64","Recoil","176.0","21.2","1.8","1.2","16.8","2.2","5.7","26.00","11.22","","","","18-80","Nov 23, 2018"
"Above Ground Level","Manzanita","174.3","21.0","2.1","1.6","18.7","1.1","7.6","67.00","9.41","","","","18-82","Nov 23, 2018"
"Innova-Champion Discs","Bullfrog","175.1","21.1","1.8","1.3","19.0","1.0","6.2","67.75","8.16","","","","18-74","Nov 4, 2018"
"Kastaplast AB","Göte","181.8","21.9","2.1","1.3","19.3","1.3","5.9","42.25","7.14","","","","18-75","Nov 4, 2018"
"Dynamic Discs","Vandal","176.0","21.2","1.7","1.1","17.4","1.9","5.2","36.25","8.39","","","","18-77","Nov 4, 2018"
"Dynamic Discs","Guard","174.3","21.0","2.1","1.6","19.1","0.9","7.6","90.00","7.84","","","","18-76","Nov 4, 2018"
"Infinite Discs","Ra","180.1","21.7","1.8","1.4","17.8","1.4","6.5","50.25","7.71","","","","18-73","Nov 2, 2018"
"Storm Disc Golf","Jet Stream","174.3","21.0","1.7","1.2","16.5","2.3","5.7","26.50","8.28","","","","18-68","Oct 1, 2018"
"Storm Disc Golf","The Crater","175.1","21.1","1.8","1.3","19.0","1.1","6.2","79.25","7.71","","","","18-69","Oct 1, 2018"
"Obsidian Discs Oy","Shard","176.0","21.2","1.5","1.2","17.4","1.9","5.7","28.00","9.19","","","","18-66","Oct 1, 2018"
"Storm Disc Golf","The Eye","181.8","21.9","1.8","1.2","19.0","1.4","5.5","46.75","8.96","","","","18-70","Oct 1, 2018"
"Millennium Golf Discs","Marksman","175.1","21.1","1.6","1.2","17.2","1.9","5.7","29.00","11.23","","","","18-68","Oct 1, 2018"
"Yikun Discs","Crossbow (Nu, 连弩)","176.8","21.3","1.6","1.3","18.2","1.6","6.1","42.75","9.64","","","","18-62","Aug 16, 2018"
"Yikun Discs","Hammer (Chui, 战锤)","175.1","21.1","1.7","1.4","18.5","1.3","6.6","56.25","11.11","","","","18-63","Aug 16, 2018"
"Disc Golf Association (DGA)","Tempest","175.1","21.1","1.7","1.1","16.5","2.3","5.2","26.25","9.87","","","","18-64","Aug 16, 2018"
"Streamline Discs","Runway","178.5","21.5","1.7","1.4","18.6","1.4","6.5","47.25","9.87","","","","18-61","Aug 2, 2018"
"Innova-Champion Discs","Gator3","176.0","21.2","1.8","1.4","18.2","1.5","6.6","49.50","12.03","","","","18-59","Jul 10, 2018"
"Legacy Discs","Pursuit","176.8","21.3","1.6","1.3","18.3","1.5","6.1","44.00","9.19","","","","18-55","Jun 21, 2018"
"Legacy Discs","Recluse","176.8","21.3","1.6","1.3","18.3","1.5","6.1","44.00","9.07","","","","18-56","Jun 21, 2018"
"Gateway Disc Sports","Apex","178.5","21.5","1.9","1.1","17.1","2.3","5.1","30.25","9.75","","","","18-49","Jun 21, 2018"
"Fourth Circle Discs","Taipan","175.1","21.1","1.6","1.1","16.3","2.4","5.2","27.25","9.19","","","","18-53","Jun 21, 2018"
"Legacy Discs","Valor","180.1","21.7","2.1","1.3","19.3","1.2","6.0","49.00","7.03","","","","18-57","Jun 21, 2018"
"Infinite Discs","Slab","176.0","21.2","1.6","1.2","16.6","2.3","5.7","29.00","9.30","","","","18-52","Jun 21, 2018"
